stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
500109,"HOLLIS AV /204 ST",,  40.706802, -73.753316,,,0,
500110,"HOLLIS AV/FRANCIS LEWIS BLVD",,  40.707357, -73.750746,,,0,
500112,"HOLLIS AV/209 PL",,  40.708385, -73.748105,,,0,
500113,"HOLLIS AV/212 ST",,  40.709396, -73.745922,,,0,
500115,"HOLLIS AV/216 ST",,  40.710178, -73.742237,,,0,
500116,"HOLLIS AV/217 PL",,  40.711034, -73.739467,,,0,
500122,"HEMPSTEAD AV/225 ST",,  40.711542, -73.729311,,,0,
500123,"HEMPSTEAD AV/225 ST",,  40.711654, -73.729334,,,0,
500125,"HEMPSTEAD AV/221 ST",,  40.712704, -73.733270,,,0,
500126,"SPRINGFIELD BLVD/HEMPSTEAD AV",,  40.712961, -73.736072,,,0,
500128,"HOLLIS AV/217 LN",,  40.711181, -73.739304,,,0,
500130,"HOLLIS AV/215 ST",,  40.710062, -73.743222,,,0,
500131,"HOLLIS AV/212 PL",,  40.709674, -73.745092,,,0,
500132,"HOLLIS AV/211 ST",,  40.708968, -73.747226,,,0,
500133,"HOLLIS AV/207 ST",,  40.707641, -73.750206,,,0,
500134,"HOLLIS AV/FRANCIS LEWIS BLVD",,  40.707267, -73.751719,,,0,
500135,"HOLLIS AV/205 ST",,  40.706895, -73.753448,,,0,
500137,"HOLLIS AV/201 ST",,  40.706238, -73.757032,,,0,
500139,"HOLLIS AV/197 ST",,  40.706573, -73.760652,,,0,
500140,"HOLLIS AV/195 ST",,  40.706816, -73.762718,,,0,
500141,"HOLLIS AV/104 AV",,  40.707289, -73.764488,,,0,
500143,"HOLLIS AV/99 AV",,  40.709588, -73.767672,,,0,
500145,"WOODHULL AV/JAMAICA AV",,  40.710740, -73.770477,,,0,
500146,"188 ST/90 AV",,  40.712703, -73.771888,,,0,
500157,"FARMERS BLVD/ROCKAWAY BLVD",,  40.659841, -73.773244,,,0,
500158,"FARMERS BLVD/147 AV",,  40.661540, -73.770567,,,0,
500163,"FARMERS BLVD/144 AV",,  40.668397, -73.766208,,,0,
500165,"FARMERS BLVD/140 AV",,  40.671179, -73.764637,,,0,
500167,"FARMERS BLVD/WESTGATE ST",,  40.674679, -73.763625,,,0,
500168,"FARMERS BLVD/134 AV",,  40.676185, -73.763441,,,0,
500170,"FARMERS BLVD/MERRICK BLVD",,  40.680279, -73.761324,,,0,
500171,"FARMERS BLVD/122 AV",,  40.683711, -73.760370,,,0,
500183,"FARMERS BLVD/111 AV",,  40.701992, -73.765629,,,0,
500184,"FARMERS BLVD/109 AV",,  40.703714, -73.766632,,,0,
500187,"FARMERS BLVD/HOLLIS AV",,  40.709363, -73.768112,,,0,
