stop_id,stop_name,stop_desc,stop_lat,stop_lon
552329,"GUY R BREWER BLVD/130 AV","GUY R BREWER BLVD & 130 AV",  40.676440, -73.778158
552330,"GUY R BREWER BLVD/BAISLEY BLVD","GUY R BREWER BLVD & BAISLEY BLVD",  40.678566, -73.779530
552331,"GUY R BREWER BLVD/BAISLEY BLVD","GUY R BREWER BLVD & BAISLEY BLVD",  40.678201, -73.779494
552332,"GUY R BREWER BLVD/120 AV","GUY R BREWER BLVD & 120 AV",  40.681129, -73.781048
552333,"GUY R BREWER BLVD/120 AV","GUY R BREWER BLVD & 120 AV",  40.680391, -73.780835
552336,"GUY R BREWER BLVD/FOCH BLVD","GUY R BREWER BLVD & FOCH BLVD",  40.684467, -73.783005
552337,"GUY R BREWER BLVD/FOCH BLVD","GUY R BREWER BLVD & FOCH BLVD",  40.684143, -73.783031
552338,"GUY R BREWER BLVD/116 AV","GUY R BREWER BLVD & 116 AV",  40.686835, -73.784402
552339,"GUY R BREWER BLVD/116 AV","GUY R BREWER BLVD & 116 AV",  40.686256, -73.784284
552342,"GUY R BREWER BLVD/SAYRES AV","GUY R BREWER BLVD & SAYRES AV",  40.689516, -73.785983
552343,"GUY R BREWER BLVD/MATHIAS AV","GUY R BREWER BLVD & MATHIAS AV",  40.691007, -73.787054
552345,"GUY R BREWER BLVD/BRINKERHOFF AV","GUY R BREWER BLVD & BRINKERHOFF AV",  40.693588, -73.788932
552346,"GUY R BREWER BLVD/BRINKERHOFF AV","GUY R BREWER BLVD & BRINKERHOFF AV",  40.693265, -73.788925
552347,"GUY R BREWER BLVD/109 AV","GUY R BREWER BLVD & 109 AV",  40.695166, -73.790091
552348,"GUY R BREWER BLVD/109 AV","GUY R BREWER BLVD & 109 AV",  40.694833, -73.790073
552351,"GUY R BREWER BLVD/107 AV","GUY R BREWER BLVD & 107 AV",  40.698340, -73.792423
552352,"GUY R BREWER BLVD/107 AV","GUY R BREWER BLVD & 107 AV",  40.698007, -73.792411
552354,"GUY R BREWER BLVD/TUSKEGEE AIRMEN WAY","GUY R BREWER BLVD & TUSKEGEE AIRMEN WAY",  40.699599, -73.793590
552355,"GUY R BREWER BLVD/LIBERTY AV","GUY R BREWER BLVD & LIBERTY AV",  40.700927, -73.794296
552357,"GUY R BREWER BLVD/ARCHER AV","GUY R BREWER BLVD & ARCHER AV",  40.703193, -73.795858
552358,"GUY R BREWER BLVD/ARCHER AV","GUY R BREWER BLVD & ARCHER AV",  40.703099, -73.796108
552363,"PARSONS BLVD /88 AV","PARSONS BLVD  & 88 AV",  40.706813, -73.802355
552364,"PARSONS BLVD/89 AV","PARSONS BLVD & 89 AV",  40.705909, -73.801833
552365,"PARSONS BLVD/88 AV","PARSONS BLVD & 88 AV",  40.706429, -73.802242
552366,"GUY R BREWER BLVD/CLAUDE AV","GUY R BREWER BLVD & CLAUDE AV",  40.691282, -73.787476
552367,"GUY R BREWER BLVD/LINDEN BLVD","GUY R BREWER BLVD & LINDEN BLVD",  40.688753, -73.785751
552368,"GUY R BREWER BLVD/FARMERS BLVD","GUY R BREWER BLVD & FARMERS BLVD",  40.664110, -73.768713
552370,"147 AV /SPRINGFIELD LN","147 AV  & SPRINGFIELD LN",  40.659289, -73.759565
552371,"147 AV /230 ST","147 AV  & 230 ST",  40.657919, -73.751833
552376,"BROOKFIELD RD /HOLIDAY CT","BROOKFIELD RD  & HOLIDAY CT",  40.649970, -73.708766
552377,"LIBERTY AV /102 ST","LIBERTY AV  & 102 ST",  40.681321, -73.838820
552379,"LIBERTY AV /106 ST","LIBERTY AV  & 106 ST",  40.682904, -73.835064
552382,"LIBERTY AV /111 ST","LIBERTY AV  & 111 ST",  40.684771, -73.830840
552383,"LIBERTY AV /111 ST","LIBERTY AV  & 111 ST",  40.684736, -73.831369
552391,"LIBERTY AV/123 ST","LIBERTY AV & 123 ST",  40.687553, -73.820540
552393,"LIBERTY AV /128 ST","LIBERTY AV  & 128 ST",  40.688839, -73.817220
552395,"LIBERTY AV /132 ST","LIBERTY AV  & 132 ST",  40.690423, -73.814132
552398,"LIBERTY AV /134 ST","LIBERTY AV  & 134 ST",  40.691570, -73.812541
552401,"TUSKEGEE AIRMEN WAY/SUTPHIN BLVD","TUSKEGEE AIRMEN WAY & SUTPHIN BLVD",  40.694362, -73.802177
552402,"TUSKEGEE AIRMEN WAY/SUTPHIN BLVD","TUSKEGEE AIRMEN WAY & SUTPHIN BLVD",  40.694765, -73.802036
552404,"TUSKEGEE AIRMEN WAY/154 ST","TUSKEGEE AIRMEN WAY & 154 ST",  40.696468, -73.799913
552405,"TUSKEGEE AIRMEN WAY/155 ST","TUSKEGEE AIRMEN WAY & 155 ST",  40.696940, -73.798945
552408,"TUSKEGEE AIRMEN WAY /160 ST","TUSKEGEE AIRMEN WAY  & 160 ST",  40.699056, -73.795388
552409,"ARCHER AV/160 ST","ARCHER AV & 160 ST",  40.702714, -73.798478
552410,"TUSKEGEE AIRMEN WAY/GUY R BREWER BLVD","TUSKEGEE AIRMEN WAY & GUY R BREWER BLVD",  40.699669, -73.794047
552411,"TUSKEGEE AIRMEN WAY/159 ST","TUSKEGEE AIRMEN WAY & 159 ST",  40.698868, -73.796386
552414,"WALTHAM ST /LIBERTY AV","WALTHAM ST  & LIBERTY AV",  40.695410, -73.805070
552415,"LIBERTY AV /127 ST","LIBERTY AV  & 127 ST",  40.688781, -73.817967
552417,"LIBERTY AV /124 ST","LIBERTY AV  & 124 ST",  40.687825, -73.820446
552419,"LIBERTY AV /115 ST","LIBERTY AV  & 115 ST",  40.685798, -73.827987
552421,"LIBERTY AV /107 ST","LIBERTY AV  & 107 ST",  40.683402, -73.834611
552423,"LIBERTY AV /103 ST","LIBERTY AV  & 103 ST",  40.681688, -73.838041
552426,"SEAGIRT BLVD/BEACH 19 ST","SEAGIRT BLVD & BEACH 19 ST",  40.594979, -73.753290
552427,"SEAGIRT BLVD/BEACH 17 ST","SEAGIRT BLVD & BEACH 17 ST",  40.594980, -73.751338
